date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:48	65231/65231	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2022:47:08%20GMT	https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/index-portfolio-slider.html	(from )
20:47:48	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Oct%202024%2013:47:49%20GMT	https://mixdesign.club/robots.txt		(from )
20:47:48	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Wed,%2010%20Jan%202024%2022:47:08%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/favicon.ico	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/img/favicon/favicon.ico	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
20:47:49	1225/1225	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Jan%202024%2022:47:08%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/icon.svg	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/img/favicon/icon.svg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
20:47:49	23158/23158	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202024%2022:47:08%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/img/favicon/apple-touch-icon.png	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
20:47:50	400/400	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2010%20Jan%202024%2022:47:08%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/manifest.webmanifest	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/img/favicon/manifest.webmanifest	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
20:47:51	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Oct%202024%2013:47:51%20GMT	http://mixdesign.club/themeforest/marvio/img/favicon/og-image.jpg	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/img/favicon/og-image.5.delayed	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
20:47:51	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Oct%202024%2013:47:52%20GMT	http://mixdesign.club/themeforest/marvio/	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/index.html	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
20:47:51	6513/6513	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Jan%202024%2022:47:08%20GMT	https://mixdesign.club/themeforest/marvio/css/loaders/loader.css	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/css/loaders/loader.css	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
20:47:52	307363/307363	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Jan%202024%2022:47:08%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/og-image.jpg	C:/My%20Web%20Sites/port/mixdesign.club/themeforest/marvio/img/favicon/og-image.jpg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
